unit,geo,time,values
PC_GEXP,AT,2009,1.38
PC_GEXP,BE,2009,1.21
PC_GEXP,BG,2009,0.8
PC_GEXP,CY,2009,1.07
PC_GEXP,CZ,2009,1.31
PC_GEXP,DE,2009,1.84
PC_GEXP,DK,2009,1.74
PC_GEXP,EA19,2009,1.54
PC_GEXP,EE,2009,1.49
PC_GEXP,EL,2009,0.66
PC_GEXP,ES,2009,1.76
PC_GEXP,EU27_2020,2009,1.5
PC_GEXP,FI,2009,1.96
PC_GEXP,FR,2009,1.58
PC_GEXP,HR,2009,1.41
PC_GEXP,HU,2009,0.89
PC_GEXP,IE,2009,1.12
PC_GEXP,IS,2009,1.87
PC_GEXP,IT,2009,1.21
PC_GEXP,JP,2009,1.79
PC_GEXP,KR,2009,3.16
PC_GEXP,LT,2009,1.15
PC_GEXP,LU,2009,1.19
PC_GEXP,LV,2009,0.45
PC_GEXP,MT,2009,0.37
PC_GEXP,NL,2009,1.63
PC_GEXP,NO,2009,1.83
PC_GEXP,PL,2009,0.74
PC_GEXP,PT,2009,1.04
PC_GEXP,RO,2009,0.73
PC_GEXP,RU,2009,1.36
PC_GEXP,SE,2009,1.62
PC_GEXP,SI,2009,1.37
PC_GEXP,SK,2009,0.8
PC_GEXP,TR,2009,0.95
PC_GEXP,UK,2009,1.29
PC_GEXP,US,2009,2.2
PC_GEXP,AT,2010,1.45
PC_GEXP,BE,2010,1.21
PC_GEXP,BG,2010,0.72
PC_GEXP,CH,2010,2.3
PC_GEXP,CY,2010,0.99
PC_GEXP,CZ,2010,1.3
PC_GEXP,DE,2010,1.86
PC_GEXP,DK,2010,1.74
PC_GEXP,EA19,2010,1.49
PC_GEXP,EE,2010,1.73
PC_GEXP,EL,2010,0.58
PC_GEXP,ES,2010,1.68
PC_GEXP,EU27_2020,2010,1.46
PC_GEXP,FI,2010,2.04
PC_GEXP,FR,2010,1.44
PC_GEXP,HR,2010,1.47
PC_GEXP,HU,2010,0.72
PC_GEXP,IE,2010,0.76
PC_GEXP,IS,2010,1.93
PC_GEXP,IT,2010,1.19
PC_GEXP,JP,2010,1.81
PC_GEXP,KR,2010,3.49
PC_GEXP,LT,2010,0.99
PC_GEXP,LU,2010,1.22
PC_GEXP,LV,2010,0.35
PC_GEXP,MT,2010,0.52
PC_GEXP,NL,2010,1.59
PC_GEXP,NO,2010,1.85
PC_GEXP,PL,2010,0.79
PC_GEXP,PT,2010,1.05
PC_GEXP,RO,2010,0.7
PC_GEXP,RU,2010,1.31
PC_GEXP,SE,2010,1.64
PC_GEXP,SI,2010,1.19
PC_GEXP,SK,2010,0.87
PC_GEXP,TR,2010,0.95
PC_GEXP,UK,2010,1.23
PC_GEXP,US,2010,1.86
PC_GEXP,AT,2011,1.54
PC_GEXP,BE,2011,1.15
PC_GEXP,BG,2011,0.69
PC_GEXP,CY,2011,0.96
PC_GEXP,CZ,2011,1.47
PC_GEXP,DE,2011,1.95
PC_GEXP,DK,2011,1.78
PC_GEXP,EA19,2011,1.49
PC_GEXP,EE,2011,2.02
PC_GEXP,EL,2011,0.58
PC_GEXP,ES,2011,1.48
PC_GEXP,EU27_2020,2011,1.46
PC_GEXP,FI,2011,1.95
PC_GEXP,FR,2011,1.45
PC_GEXP,HR,2011,1.5
PC_GEXP,HU,2011,0.59
PC_GEXP,IE,2011,0.97
PC_GEXP,IS,2011,1.86
PC_GEXP,IT,2011,1.13
PC_GEXP,JP,2011,1.82
PC_GEXP,KR,2011,3.45
PC_GEXP,LT,2011,0.95
PC_GEXP,LU,2011,1.37
PC_GEXP,LV,2011,0.36
PC_GEXP,MT,2011,0.5
PC_GEXP,NL,2011,1.63
PC_GEXP,NO,2011,1.82
PC_GEXP,PL,2011,0.7
PC_GEXP,PT,2011,0.89
PC_GEXP,RO,2011,0.68
PC_GEXP,RU,2011,1.47
PC_GEXP,SE,2011,1.56
PC_GEXP,SI,2011,1.16
PC_GEXP,SK,2011,1.09
PC_GEXP,TR,2011,1.02
PC_GEXP,UK,2011,1.2
PC_GEXP,US,2011,1.75
PC_GEXP,AT,2012,1.5
PC_GEXP,BE,2012,1.14
PC_GEXP,BG,2012,0.7
PC_GEXP,CH,2012,2.59
PC_GEXP,CY,2012,0.85
PC_GEXP,CZ,2012,1.43
PC_GEXP,DE,2012,1.95
PC_GEXP,DK,2012,1.73
PC_GEXP,EA19,2012,1.41
PC_GEXP,EE,2012,2.07
PC_GEXP,EL,2012,0.69
PC_GEXP,ES,2012,1.23
PC_GEXP,EU27_2020,2012,1.39
PC_GEXP,FI,2012,1.85
PC_GEXP,FR,2012,1.27
PC_GEXP,HR,2012,1.48
PC_GEXP,HU,2012,0.69
PC_GEXP,IE,2012,1.01
PC_GEXP,IS,2012,2.03
PC_GEXP,IT,2012,1.07
PC_GEXP,JP,2012,1.83
PC_GEXP,KR,2012,3.55
PC_GEXP,LT,2012,0.99
PC_GEXP,LU,2012,1.37
PC_GEXP,LV,2012,0.38
PC_GEXP,MT,2012,0.64
PC_GEXP,NL,2012,1.53
PC_GEXP,NO,2012,1.81
PC_GEXP,PL,2012,0.82
PC_GEXP,PT,2012,0.72
PC_GEXP,RO,2012,0.58
PC_GEXP,RU,2012,1.49
PC_GEXP,SE,2012,1.63
PC_GEXP,SI,2012,1.06
PC_GEXP,SK,2012,0.97
PC_GEXP,UK,2012,1.17
PC_GEXP,US,2012,1.81
PC_GEXP,AT,2013,1.55
PC_GEXP,BE,2013,1.14
PC_GEXP,BG,2013,0.65
PC_GEXP,CY,2013,0.78
PC_GEXP,CZ,2013,1.51
PC_GEXP,DE,2013,2.01
PC_GEXP,DK,2013,1.83
PC_GEXP,EA19,2013,1.41
PC_GEXP,EE,2013,2.12
PC_GEXP,EL,2013,0.76
PC_GEXP,ES,2013,1.22
PC_GEXP,EU27_2020,2013,1.4
PC_GEXP,FI,2013,1.74
PC_GEXP,FR,2013,1.24
PC_GEXP,HR,2013,1.26
PC_GEXP,HU,2013,1.29
PC_GEXP,IE,2013,0.99
PC_GEXP,IS,2013,2.2
PC_GEXP,IT,2013,1.03
PC_GEXP,JP,2013,1.76
PC_GEXP,KR,2013,3.78
PC_GEXP,LT,2013,1.01
PC_GEXP,LU,2013,1.48
PC_GEXP,LV,2013,0.37
PC_GEXP,MT,2013,0.66
PC_GEXP,NL,2013,1.56
PC_GEXP,NO,2013,1.83
PC_GEXP,PL,2013,0.85
PC_GEXP,PT,2013,0.79
PC_GEXP,RO,2013,0.58
PC_GEXP,RU,2013,1.62
PC_GEXP,SE,2013,1.59
PC_GEXP,SI,2013,0.79
PC_GEXP,SK,2013,0.91
PC_GEXP,UK,2013,1.28
PC_GEXP,US,2013,1.7
PC_GEXP,AT,2014,1.52
PC_GEXP,BE,2014,1.22
PC_GEXP,BG,2014,0.57
PC_GEXP,CH,2014,2.58
